ko_term,en_term,type,aliases,usage_note,status,source,last_context
의결기구,Legislative Board,Organization,,Use as the official name of a student society organization.,approved,imported,
집행기구,Executive Board,Organization,,Use as the official name of a student society organization.,approved,imported,
자치기구,Autonomous Board,Organization,,Use as the official name of a student society organization.,approved,imported,
전문기구,Specialized Board,Organization,,Use as the official name of a student society organization.,approved,imported,
특별기구,Special Board,Organization,,Use as the official name of a student society organization.,approved,imported,
기타 위원회,Other Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
자치단체,Autonomous Organization,Organization,,Use as the official name of a student society organization.,approved,imported,
학생총회,Students’ Assembly,Organization,,Use as the official name of a student society organization.,approved,imported,
전체학생총회,General Students’ Assembly,Organization,,Use as the official name of a student society organization.,approved,imported,
총투표,General Vote,Election,,Use as an official student society election term.,approved,imported,
학생총투표,General Student Vote,Election,,Use as an official student society election term.,approved,imported,
투표관리위원회,Vote Management Commission,Election,,Use as an official student society election term.,approved,imported,
전체학생대표자회의,General Student Representative Conference,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
중앙운영위원회,Central Operative Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
총학생회장단,Undergraduate Student Association Presidency,Organization,,Use as the official name of a student society organization.,approved,imported,
중앙집행위원회,Central Executive Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
상설위원회,Standing Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
과학생회,Department Student Association,Organization,,Use as the official name of a student society organization.,approved,imported,
학과학생회,Department Student Association,Organization,,Use as the official name of a student society organization.,approved,imported,
과학생회장,Department Student Association President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학과학생회장,Department Student Association President,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
과대표,Department Student Association Representative,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
학과대표,Department Student Association Representative,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
반대표자협의회,Freshman Student Association,Organization,,Use as the official name of a student society organization.,approved,imported,
동아리연합회,Undergraduate Student Clubs Union,Organization,,Use as the official name of a student society organization.,approved,imported,
학부동아리연합회,Undergraduate Student Clubs Union,Organization,,Use as the official name of a student society organization.,approved,imported,
학부생활관자치회,Undergraduate Dormitory Association,Organization,,Use as the official name of a student society organization.,approved,imported,
교지편집위원회,School Magazine Editing Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
기층예산심의회의,Substratum Budget Deliberation Meeting,Finance,,Use as an official student society finance or accounting term.,approved,imported,
선거관리위원회,Undergraduate Election Committee,Election,,Use as an official student society election term.,approved,imported,
예산자치심의회의,Autonomous Budget Deliberation Meeting,Finance,,Use as an official student society finance or accounting term.,approved,imported,
감사위원회,Auditing Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
감사원,Auditing Committee,Organization,,Use as the official name of a student society organization.,approved,imported,
언론기금위원회,Media Budget Committee,Finance,,Use as an official student society finance or accounting term.,approved,imported,
중앙선거관리위원회,Central Election Committtee,Election,,Use as an official student society election term.,approved,imported,
선거시행세칙,Election Implementation Bylaws,Election,,Use as an official student society election term.,approved,imported,
선거시행규칙,Election Implementation Regulations,Election,,Use as an official student society election term.,approved,imported,
인수위원회,Transition Team,Organization,,Use as the official name of a student society organization.,approved,imported,
기층,Substratum,General,,Use exactly as the approved glossary translation.,approved,imported,
중앙기구회계,Substratum,Finance,,Use as an official student society finance or accounting term.,approved,imported,
회칙,the Constitution,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
규칙,Regulations,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
세칙,Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
총칙,General Provisions,General,,Use exactly as the approved glossary translation.,approved,imported,
본칙,Main Regulation,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
본회,The Council,Organization,,Use as the official name of a student society organization.,approved,imported,
정회원,Regular Member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
준회원,Associate Member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
대의원,Delegate,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
사무재정세칙,Secretariat Finance Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
사무처리세칙,Affairs Administration Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
언론기금 운영 세칙,Media Budget Operation Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
예산자치제시행세칙,Autonomous Budget System Implementation Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
의결기구운영세칙,Legislative Board Operation Bylaws,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
운영위원,operation member,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
비례 대의원,Proportional Delegates,Role/Position,,Use as the official title of a student society role or position.,approved,imported,
위원장단,Presidency,Organization,,Use as the official name of a student society organization.,approved,imported,
결산 승인,Final account approval,Finance,,Use as an official student society finance or accounting term.,approved,imported,
특임기구,Specials Affaris Board,Organization,,Use as the official name of a student society organization.,approved,imported,
기층기구회계,Department Board Accounting,Finance,,Use as an official student society finance or accounting term.,approved,imported,
임시집행체계,Temporary Executive System,General,,Use exactly as the approved glossary translation.,approved,imported,
예산자치기금,Deliberative Budget Fund,Finance,,Use as an official student society finance or accounting term.,approved,imported,
부칙,Additional Clause,Regulation,,Use as the official title of a student society regulation or bylaw.,approved,imported,
겸직금지,Ban Multiple Mandates,General,,Use exactly as the approved glossary translation.,approved,imported,
활동,Activity,General,,Use exactly as the approved glossary translation.,approved,imported,
행위,Deed,General,,Use exactly as the approved glossary translation.,approved,imported,
